Rank,Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Last_Update
221,Final Fantasy X-2,PS2,Square Enix,Square Enix,8.3,,5.5,2003,
222,Sid Meier's Civilization VI,PC,2K Games,Firaxis Games,8.8,7,5.5,2016,19th Dec 18
223,Tomb Raider (2013),PC,Square Enix,Crystal Dynamics,8.8,,5.5,2013,06th Jan 18
224,Super Mario Maker 2,NS,Nintendo,Nintendo,,,5.48,2019,24th Apr 19
225,Pokemon Stadium,N64,Nintendo,HAL Laboratory,7.5,,5.46,2000,
226,Minecraft,XOne,Microsoft Studios,Mojang,,,5.43,2014,14th Sep 18
227,Call of Duty: World at War,PS3,Activision,Treyarch,8.4,,5.43,2008,
228,Super Mario Advance 4: Super Mario Bros. 3,GBA,Nintendo,Nintendo EAD,9.2,,5.43,2003,
229,Crash Bandicoot: The Wrath of Cortex,PS2,Universal Interactive,Traveller's Tales,6.9,,5.42,2001,
230,Super Smash Bros. for Wii U,WiiU,Nintendo,Bandai Namco Games,9.2,8.9,5.37,2014,12th Apr 18
231,Final Fantasy XIII,PS3,Square Enix,Square Enix,8,9.2,5.35,2010,
232,Gran Turismo 5 Prologue,PS3,Sony Computer Entertainment,Polyphony Digital,8.3,,5.35,2008,
233,Dr. Mario,GB,Nintendo,Nintendo R&D1,,,5.34,1990,
234,Assassin's Creed III,X360,Ubisoft,Ubisoft Montreal,8.5,,5.31,2012,07th Feb 18
235,Pokemon Pinball,GBC,Nintendo,Jupiter Corporation,8.7,,5.31,1999,06th Jan 18
236,Assassin's Creed II,X360,Ubisoft,Ubisoft Montreal,9.1,,5.3,2009,
237,The Forest,PC,Endnight Games Ltd,Unknown,8.3,7.3,5.3,2014,
238,Donkey Kong 64,N64,Nintendo,Rare Ltd.,9.3,,5.27,1999,
239,Just Dance 2,Wii,Ubisoft,Ubisoft Paris,7.3,,5.25,2010,
240,Tomb Raider II,PS,Eidos Interactive,Core Design Ltd.,7.6,,5.24,1997,
241,Madden NFL 2004,PS2,EA Sports,EA Tiburon,9.5,,5.23,2003,
242,Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,8.3,5.5,5.22,2014,01st Jan 18
243,Fallout: New Vegas,PC,Bethesda Softworks,Obsidian Entertainment,8.3,,5.22,2010,
244,Gran Turismo 6,PS3,Sony Computer Entertainment America,Polyphony Digital,,,5.22,2013,18th Apr 18
245,Kingdom Hearts II,PS2,Square Enix,Square Enix,8.3,,5.2,2006,
246,Nintendo Land,WiiU,Nintendo,Nintendo,7.8,7.9,5.2,2012,20th Mar 18
247,Super Mario Land 3: Wario Land,GB,Nintendo,Nintendo R&D1,7.9,,5.19,1994,
248,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Nintendo,Rare Ltd.,9.3,,5.15,1995,
249,Medal of Honor: Rising Sun,PS2,Electronic Arts,EA Los Angeles,5.9,,5.13,2003,
250,Battlefield 1,XOne,Electronic Arts,EA DICE,9.3,7.6,5.13,2016,24th Mar 18
251,Kirby's Dream Land,GB,Nintendo,HAL Laboratory,,,5.13,1992,
252,Microsoft Flight Simulator,PC,Microsoft,Microsoft,7,,5.12,1996,
253,Guitar Hero II,PS2,RedOctane,Harmonix Music Systems,9.2,,5.12,2006,
254,FIFA 13,X360,EA Sports,EA Canada,,,5.11,2012,06th Apr 18
255,Resident Evil 5,PS3,Capcom,Capcom,8.6,8.8,5.1,2009,
256,Fable III,X360,Microsoft Game Studios,Lionhead Studios,7.8,,5.1,2010,
257,Mario & Sonic at the Olympic Games,DS,Sega,Sega,7,,5.1,2008,
258,Grand Theft Auto: Vice City Stories,PSP,Rockstar Games,Rockstar Leeds,8.4,,5.08,2006,
259,FIFA Soccer 11,PS3,EA Sports,EA Canada,8.7,,5.08,2010,
260,Super Mario Bros. Deluxe,GB,Nintendo,Nintendo EAD,9.7,,5.07,1999,
261,Final Fantasy XV,PS4,Square Enix,Square Enix,8.1,9.5,5.07,2016,04th May 18
262,Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,6.4,5.03,2015,24th Mar 18
263,Tony Hawk's Pro Skater,PS,Activision,Neversoft Entertainment,9.6,,5.02,1999,
264,Warzone 2100,PS,Eidos Interactive,Pumpkin Studios,7.5,,5.01,1999,
265,Spyro the Dragon,PS,Sony Computer Entertainment,Insomniac Games,8.7,,5,1998,
266,Gears of War,X360,Microsoft Game Studios,Epic Games,9.4,9.4,5,2006,
267,Gears of War 2,X360,Microsoft Game Studios,Epic Games,9.4,9.5,5,2008,
268,Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,8.6,6.4,5,2015,24th Mar 18
269,Halo: Combat Evolved,XB,Microsoft,Bungie Studios,9.5,,5,2001,11th Oct 18
